Datetime,Open,High,Low,Close,Volume
2023-02-16 09:30:00-05:00,12.73,12.74,12.51,12.69,3560324
2023-02-16 09:35:00-05:00,12.69,12.705,12.59,12.7,1422828
2023-02-16 09:40:00-05:00,12.705,12.78,12.675,12.75,1187743
2023-02-16 09:45:00-05:00,12.745,12.78,12.73,12.75,902004
2023-02-16 09:50:00-05:00,12.745,12.78,12.71,12.765,925615
2023-02-16 09:55:00-05:00,12.76,12.8,12.75,12.765,982448
2023-02-16 10:00:00-05:00,12.765,12.82,12.75,12.79,1774612
2023-02-16 10:05:00-05:00,12.785,12.86,12.78,12.85,640931
2023-02-16 10:10:00-05:00,12.845,12.89,12.83,12.87,826251
2023-02-16 10:15:00-05:00,12.87,12.91,12.84,12.9,803116
2023-02-16 10:20:00-05:00,12.895,12.91,12.87,12.89,965804
2023-02-16 10:25:00-05:00,12.89,12.91,12.88,12.895,519907
2023-02-16 10:30:00-05:00,12.895,12.95,12.89,12.945,1091682
2023-02-16 10:35:00-05:00,12.947,12.95,12.89,12.895,760121
2023-02-16 10:40:00-05:00,12.895,12.905,12.87,12.875,589147
2023-02-16 10:45:00-05:00,12.88,12.9,12.875,12.9,593143
2023-02-16 10:50:00-05:00,12.895,12.906,12.87,12.895,608625
2023-02-16 10:55:00-05:00,12.895,12.908,12.87,12.9,1747645
2023-02-16 11:00:00-05:00,12.9,12.97,12.89,12.95,1302701
2023-02-16 11:05:00-05:00,12.945,12.96,12.88,12.925,663040
2023-02-16 11:10:00-05:00,12.925,12.935,12.91,12.915,523416
2023-02-16 11:15:00-05:00,12.92,12.93,12.9,12.925,487911
2023-02-16 11:20:00-05:00,12.93,12.94,12.91,12.93,588285
2023-02-16 11:25:00-05:00,12.935,12.96,12.92,12.94,527986
2023-02-16 11:30:00-05:00,12.94,12.97,12.93,12.95,665968
2023-02-16 11:35:00-05:00,12.955,12.96,12.93,12.93,451296
2023-02-16 11:40:00-05:00,12.935,12.95,12.92,12.93,619768
2023-02-16 11:45:00-05:00,12.93,12.97,12.93,12.955,583351
2023-02-16 11:50:00-05:00,12.955,12.96,12.92,12.925,432771
2023-02-16 11:55:00-05:00,12.92,12.93,12.9,12.92,439261
2023-02-16 12:00:00-05:00,12.923,12.94,12.92,12.938,369368
2023-02-16 12:05:00-05:00,12.93,12.96,12.922,12.96,519252
2023-02-16 12:10:00-05:00,12.96,12.98,12.955,12.975,355194
2023-02-16 12:15:00-05:00,12.975,12.98,12.92,12.931,764157
2023-02-16 12:20:00-05:00,12.93,12.98,12.925,12.97,655400
2023-02-16 12:25:00-05:00,12.975,12.99,12.97,12.97,366044
2023-02-16 12:30:00-05:00,12.977,13.0,12.96,12.99,599014
2023-02-16 12:35:00-05:00,12.984,13.0,12.98,12.984,453583
2023-02-16 12:40:00-05:00,12.98,13.01,12.98,13.005,846343
2023-02-16 12:45:00-05:00,13.005,13.01,12.97,12.982,1297036
2023-02-16 12:50:00-05:00,12.985,12.99,12.963,12.978,715654
2023-02-16 12:55:00-05:00,12.97,12.99,12.96,12.98,620299
2023-02-16 13:00:00-05:00,12.98,13.0,12.974,12.985,615191
2023-02-16 13:05:00-05:00,12.985,13.0,12.98,12.989,199945
2023-02-16 13:10:00-05:00,12.989,13.0,12.96,12.97,465646
2023-02-16 13:15:00-05:00,12.975,12.99,12.96,12.986,447630
2023-02-16 13:20:00-05:00,12.99,12.99,12.96,12.975,383025
2023-02-16 13:25:00-05:00,12.98,12.99,12.96,12.975,475090
2023-02-16 13:30:00-05:00,12.975,12.99,12.96,12.989,610669
2023-02-16 13:35:00-05:00,12.99,13.01,12.982,13.0,780290
2023-02-16 13:40:00-05:00,13.005,13.03,12.99,13.03,914652
2023-02-16 13:45:00-05:00,13.02,13.04,13.01,13.025,705411
2023-02-16 13:50:00-05:00,13.023,13.04,13.02,13.03,352753
2023-02-16 13:55:00-05:00,13.03,13.05,13.02,13.041,360378
2023-02-16 14:00:00-05:00,13.045,13.08,13.04,13.079,815495
2023-02-16 14:05:00-05:00,13.08,13.1,13.07,13.09,754578
2023-02-16 14:10:00-05:00,13.085,13.1,13.08,13.09,629408
2023-02-16 14:15:00-05:00,13.097,13.12,13.08,13.111,1273352
2023-02-16 14:20:00-05:00,13.11,13.12,13.08,13.115,814299
2023-02-16 14:25:00-05:00,13.12,13.13,13.1,13.105,646475
2023-02-16 14:30:00-05:00,13.105,13.13,13.1,13.115,681812
2023-02-16 14:35:00-05:00,13.12,13.14,13.11,13.12,866983
