Datetime,Open,High,Low,Close,Volume
2023-02-16 09:30:00-05:00,210.78,211.97,209.36,210.48,13422956
2023-02-16 09:35:00-05:00,210.44,211.89,208.31,211.706,5339944
2023-02-16 09:40:00-05:00,211.73,212.83,210.88,212.15,5421561
2023-02-16 09:45:00-05:00,212.15,213.66,211.41,212.681,4311607
2023-02-16 09:50:00-05:00,212.67,215.29,212.23,214.8,5292102
2023-02-16 09:55:00-05:00,214.81,214.82,213.1,213.339,4114658
2023-02-16 10:00:00-05:00,213.368,213.85,212.34,212.852,3547550
2023-02-16 10:05:00-05:00,212.86,214.43,212.54,213.97,3058743
2023-02-16 10:10:00-05:00,213.97,214.9,213.18,213.3,3172086
2023-02-16 10:15:00-05:00,213.31,213.96,212.89,213.8,2538033
2023-02-16 10:20:00-05:00,213.81,215.39,213.71,214.05,3783056
2023-02-16 10:25:00-05:00,214.021,215.25,214.01,214.94,2680948
2023-02-16 10:30:00-05:00,214.94,215.73,214.47,215.0,3110674
2023-02-16 10:35:00-05:00,215.017,216.25,214.759,215.87,3356907
2023-02-16 10:40:00-05:00,215.877,216.86,215.75,216.4,3064182
2023-02-16 10:45:00-05:00,216.43,217.57,216.415,217.37,3448222
2023-02-16 10:50:00-05:00,217.37,217.65,216.31,216.535,3510928
2023-02-16 10:55:00-05:00,216.57,216.87,216.05,216.81,2174402
2023-02-16 11:00:00-05:00,216.82,217.5,216.6,217.29,2130894
2023-02-16 11:05:00-05:00,217.29,217.45,215.64,216.055,2795034
2023-02-16 11:10:00-05:00,216.068,216.472,215.35,216.211,2281790
2023-02-16 11:15:00-05:00,216.28,216.59,215.65,216.448,2880021
2023-02-16 11:20:00-05:00,216.453,216.7,215.36,215.83,1776492
2023-02-16 11:25:00-05:00,215.87,216.45,215.46,216.255,1309303
2023-02-16 11:30:00-05:00,216.28,216.57,215.61,216.43,1697274
2023-02-16 11:35:00-05:00,216.42,216.47,215.8,215.988,1295019
2023-02-16 11:40:00-05:00,216.01,216.8,215.88,216.375,1393032
2023-02-16 11:45:00-05:00,216.4,216.938,216.22,216.405,1227366
2023-02-16 11:50:00-05:00,216.406,216.483,215.67,215.816,1278800
2023-02-16 11:55:00-05:00,215.832,216.05,215.01,215.23,1540713
2023-02-16 12:00:00-05:00,215.22,215.913,215.12,215.561,1392171
2023-02-16 12:05:00-05:00,215.53,215.88,215.26,215.51,1006587
2023-02-16 12:10:00-05:00,215.51,215.84,215.25,215.495,962095
2023-02-16 12:15:00-05:00,215.52,215.52,214.33,214.38,1937541
2023-02-16 12:20:00-05:00,214.394,215.22,214.04,215.16,1998772
2023-02-16 12:25:00-05:00,215.2,215.819,215.06,215.71,1547462
2023-02-16 12:30:00-05:00,215.73,216.74,215.71,216.58,1868869
2023-02-16 12:35:00-05:00,216.6,216.8,215.52,215.66,2263790
2023-02-16 12:40:00-05:00,215.65,216.5,215.45,216.24,1734632
2023-02-16 12:45:00-05:00,216.23,216.4,214.625,214.9,2253421
2023-02-16 12:50:00-05:00,214.9,215.21,212.65,212.74,3576710
2023-02-16 12:55:00-05:00,212.75,212.77,210.31,211.86,6017124
2023-02-16 13:00:00-05:00,211.82,213.34,211.37,212.27,3650948
2023-02-16 13:05:00-05:00,212.29,213.2,212.29,213.2,784694
